cbsa,phi
30340,0.6788881653994643
48700,1.0
17420,0.6109378447172642
24020,0.4650395365044757
43300,1.0
12980,0.8768014285643316
16060,0.4650395365044757
49020,0.4650395365044757
34060,1.0
26820,1.0
22520,0.2341750232621682
33780,0.8061467310060545
48660,0.8995366199495322
12620,1.0
35660,0.3571122720574541
16540,1.0
27100,1.0
36220,0.4650395365044756
12220,0.4650395365044757
27500,0.4650395365044757
48140,0.5362776025470648
41100,0.2059021593116645
13980,0.628384904783403
47940,1.0
36780,1.0
34740,1.0
20100,0.7802840953342306
24780,0.2849144886020532
13740,1.0
39820,0.6193895871591948
37460,0.6739062259484612
13460,0.3616974172812588
45460,0.8248641339109938
27340,0.4650395365044757
39540,0.8142053480231948
27740,1.0
33740,1.0
21140,0.8128071694372757
22500,0.7839360547227319
12020,0.4650395365044757
29340,0.6089061885569127
49740,0.3616974172812588
19300,1.0
12700,0.6158690714861701
25940,0.4650395365044756
16820,0.6291230345612153
17020,1.0
46340,0.5626509206286129
29200,1.0
45820,0.4795847750971257
11540,1.0
22020,0.7325197682522379
22900,0.1422765530426106
17780,0.4597258832171204
43620,0.2366457935790938
11100,0.4650395365044757
16620,0.4650395365044756
35980,0.479186749875493
47380,0.4650395365044757
16300,0.2003828897116815
21500,0.8414876047460036
42020,1.0
30980,1.0
28420,0.8440698200821436
46540,1.0
24540,0.6983733556897633
28700,0.8385025015862567
43900,0.9104536808630148
40220,0.2541737780355503
21780,0.717084632412402
31180,0.5028521729507164
24580,0.7579940759740532
17980,0.8632130039815791
43780,0.6071643523910474
23540,0.5339190234290128
40420,0.668770042871977
36100,1.0
26580,0.7670064110577083
25860,0.3422694549458319
11460,0.4650395365044757
45940,0.4650395365044757
34940,0.6045944400371825
21660,1.0
33860,0.8646559426243995
19340,0.4650395365044757
45220,0.8511272104572639
43340,0.6526006123630697
15940,0.8212770942734273
41540,0.6992070640749969
23060,0.6432051340059398
37900,0.7688922334824491
22420,0.2074796973426648
31700,1.0
39740,0.6140300842119951
15180,0.3397212721124577
41420,0.7979835372457138
18580,0.4650395365044757
33660,0.7147441975830521
41500,0.2214639527143754
46700,0.3757179182081003
28660,1.0
42200,0.1518676430557359
49620,0.8093090733468488
11700,0.8178241722653622
26620,0.7216039416952444
47300,0.796444790467175
44180,0.2878041886784734
37860,0.936312868132024
29180,0.8511536467980381
42220,1.0
30460,0.804195804208501
22220,0.6964346675366124
22180,0.5168266246900698
38860,0.7338335426652787
29540,0.801621800243574
49660,1.0
33700,1.0
29620,1.0
44060,0.3490318666291279
42540,0.9059926698011423
16860,0.4650395365044757
25420,0.4404417750172416
27140,0.4538080216258114
12260,0.5076212500406017
39340,1.0
20500,0.6703108220698364
48620,0.7730788325282341
45780,0.9111600170974528
19660,0.4118691731450614
45060,0.5676368633530529
31540,0.4444971046056443
36260,0.623629068479107
49180,0.8704629315138188
19780,0.6501680696297849
29460,1.0
44140,0.2942929108861171
10420,0.4986819661835251
14260,0.2950986363254024
17820,0.1811733921572175
30780,0.4634348609981113
15980,0.5484545501709089
44700,1.0
24660,0.728782627465472
16700,0.8763789235350848
35840,0.49306092691222
17900,0.8311959960793684
10900,0.6120276420578422
21340,0.5942513287207619
37100,0.218299494763747
28940,0.6090453722984149
12940,0.882320031212618
32580,0.4969175664244176
35300,0.6422746834075727
10580,0.7516032316338518
12540,0.7979352035292061
24860,0.5830841495667181
10740,0.3098924265630193
36540,0.1209037617932119
49340,1.0
14860,0.406529989912284
23420,0.7390040464867461
46140,0.5672164715115553
46060,0.6669650779525379
24340,0.8129717634174455
40380,0.6199116113224571
13820,0.6024381102881172
15380,0.7080327854882226
41620,0.7622006041847007
25540,0.7431274457278584
31140,0.7193665584037813
35380,0.6590197673384444
40060,0.4410979046067607
39580,0.7015384425738164
32820,0.5042652125521615
36420,0.4333375693600549
27260,0.5379637338796107
33340,0.7660216509124997
39300,0.5835003953898878
47260,0.7060271155643582
34980,0.3864605073944549
41940,0.6022364515052898
26900,0.5313500710657243
17460,0.739888405474569
18140,0.8174552336063219
12420,0.3139252733308679
28140,0.7635593767442379
29820,0.4197000735010937
17140,0.7799907198544485
40900,0.8460844053314209
38300,0.6475517895733441
38900,0.6109073650828551
41700,0.3899141808457034
36740,0.3935513502973808
16740,0.6707125904362946
12580,0.5619105224001693
41180,0.5841641831851095
19740,0.4235441375879066
45300,0.4739932648564622
41740,0.5308867355607559
33460,0.5934611980105018
42660,0.4698064782663443
19820,0.5943526342053584
40140,0.6931404614505974
41860,0.4327645680041929
38060,0.4713238638948207
14460,0.692984311009837
12060,0.6211609710157249
37980,0.7035886352198271
33100,0.4307828089511757
47900,0.5350395572126857
26420,0.5640536028576627
19100,0.5652223521178928
16980,0.5625522989969505
31080,0.574166626064557
35620,0.5647637739559535
