,phi,v
30340,0.6788881653994643,0.44924132579083875
48700,1.0,0.5038723395954039
17420,0.6109378447172642,0.515456216961618
24020,0.4650395365044757,0.5392439104276923
43300,1.0,0.527404878797177
12980,0.8768014285643316,0.5008547309800327
16060,0.4650395365044757,0.4629810417585186
49020,0.4650395365044757,0.5459157787924911
34060,1.0,0.3773896701445143
26820,1.0,0.4679299454493253
22520,0.2341750232621682,0.5561210296355692
33780,0.8061467310060545,0.5552489733059548
48660,0.8995366199495322,0.4127680667123467
12620,1.0,0.48144847584694817
35660,0.3571122720574541,0.5461231709777026
16540,1.0,0.5303655423736976
27100,1.0,0.48406241569763314
36220,0.4650395365044756,0.389102856621338
12220,0.4650395365044757,0.40985429557184
27500,0.4650395365044757,0.4689481660217458
48140,0.5362776025470648,0.5331591639871383
41100,0.2059021593116645,0.5115503510027563
13980,0.628384904783403,0.3750214853304774
47940,1.0,0.44367178515862815
36780,1.0,0.4077207893832784
34740,1.0,0.5032581798185317
20100,0.7802840953342306,0.48830454059012385
24780,0.2849144886020532,0.39235724256278254
13740,1.0,0.45459309071400944
39820,0.6193895871591948,0.524313538941304
37460,0.6739062259484612,0.5266905902229917
13460,0.3616974172812588,0.555773546194781
45460,0.8248641339109938,0.4477152543941866
27340,0.4650395365044757,0.2943618204543109
39540,0.8142053480231948,0.48972541967845357
27740,1.0,0.4844650831254324
33740,1.0,0.4321165174637043
21140,0.8128071694372757,0.49302460763417943
22500,0.7839360547227319,0.5035573794376184
12020,0.4650395365044757,0.37268559245728244
29340,0.6089061885569127,0.48693706359248323
49740,0.3616974172812588,0.5113168980731361
19300,1.0,0.5701684511397981
12700,0.6158690714861701,0.6508224617129892
25940,0.4650395365044756,0.6089077746301542
16820,0.6291230345612153,0.4550026981072523
17020,1.0,0.4985929540839953
46340,0.5626509206286129,0.47149096918899774
29200,1.0,0.34873933896944925
45820,0.4795847750971257,0.5000097947030246
11540,1.0,0.4831041900022799
22020,0.7325197682522379,0.36560650234119624
22900,0.1422765530426106,0.5263631649495631
17780,0.4597258832171204,0.32966735535326014
43620,0.2366457935790938,0.42234415744366394
11100,0.4650395365044757,0.4406142421330547
16620,0.4650395365044756,0.5483264285017254
35980,0.479186749875493,0.47276512085116223
47380,0.4650395365044757,0.44294321876664766
16300,0.2003828897116815,0.4327357087021207
21500,0.8414876047460036,0.4633887854068983
42020,1.0,0.49391092269163406
30980,1.0,0.4956057422969188
28420,0.8440698200821436,0.4640596932430565
46540,1.0,0.47522798578509595
24540,0.6983733556897633,0.45907124650243686
28700,0.8385025015862567,0.5706399584147832
43900,0.9104536808630148,0.48699407452043786
40220,0.2541737780355503,0.5056851031027173
21780,0.717084632412402,0.48763639500280337
31180,0.5028521729507164,0.3937083503964856
24580,0.7579940759740532,0.4524972951567395
17980,0.8632130039815791,0.42141633733474704
43780,0.6071643523910474,0.45829332309071125
23540,0.5339190234290128,0.37475835972524985
40420,0.668770042871977,0.49575330601669565
36100,1.0,0.6133544470836633
26580,0.7670064110577083,0.5422988505747126
25860,0.3422694549458319,0.5391759430642091
11460,0.4650395365044757,0.38948264041917635
45940,0.4650395365044757,0.445760239786975
34940,0.6045944400371825,0.6884630938933746
21660,1.0,0.4708500738823012
33860,0.8646559426243995,0.4293999342255053
19340,0.4650395365044757,0.48427252600359244
45220,0.8511272104572639,0.3888216981343367
43340,0.6526006123630697,0.4463057371450873
15940,0.8212770942734273,0.5084354029485294
41540,0.6992070640749969,0.562488270684992
23060,0.6432051340059398,0.45482856660964266
37900,0.7688922334824491,0.4808915929832542
22420,0.2074796973426648,0.5056271940894386
31700,1.0,0.49977005801613134
39740,0.6140300842119951,0.4881776376608908
15180,0.3397212721124577,0.48885637355095146
41420,0.7979835372457138,0.4826474136311007
18580,0.4650395365044757,0.46146416959604564
33660,0.7147441975830521,0.49223013295171814
41500,0.2214639527143754,0.4360549107734826
46700,0.3757179182081003,0.4820318516464899
28660,1.0,0.39004652717499716
42200,0.1518676430557359,0.4341841483496814
49620,0.8093090733468488,0.5083321060182079
11700,0.8178241722653622,0.5272983119014115
26620,0.7216039416952444,0.4887948986844133
47300,0.796444790467175,0.44385001736528545
44180,0.2878041886784734,0.4433960050863125
37860,0.936312868132024,0.4663548330245164
29180,0.8511536467980381,0.44759726576553427
42220,1.0,0.5434464820397011
30460,0.804195804208501,0.4163124656413832
22220,0.6964346675366124,0.4160785369512125
22180,0.5168266246900698,0.39125028631262065
38860,0.7338335426652787,0.5152055080325475
29540,0.801621800243574,0.47341099832517514
49660,1.0,0.522181359162024
33700,1.0,0.46732066285510093
29620,1.0,0.4497358916007266
44060,0.3490318666291279,0.46461964910579356
42540,0.9059926698011423,0.4904594342060794
16860,0.4650395365044757,0.48387177865016484
25420,0.4404417750172416,0.46524295518455155
27140,0.4538080216258114,0.4492302212207942
12260,0.5076212500406017,0.48995871893567217
39340,1.0,0.3375240901248146
20500,0.6703108220698364,0.4118392151634024
48620,0.7730788325282341,0.48220352819524026
45780,0.9111600170974528,0.45952499747042136
19660,0.4118691731450614,0.5879901097584442
45060,0.5676368633530529,0.47461810373076574
31540,0.4444971046056443,0.39008144378545556
36260,0.623629068479107,0.4254000133895695
49180,0.8704629315138188,0.5129910922258142
19780,0.6501680696297849,0.41641224368661456
29460,1.0,0.5428207098107858
44140,0.2942929108861171,0.452887488946407
10420,0.4986819661835251,0.497842500916153
14260,0.2950986363254024,0.46009430184875805
17820,0.1811733921572175,0.43947407933171356
30780,0.4634348609981113,0.4668965266700353
15980,0.5484545501709089,0.6340435975363761
44700,1.0,0.4438810639136197
24660,0.728782627465472,0.4684332976028065
16700,0.8763789235350848,0.45319497474291337
35840,0.49306092691222,0.6649648638070926
17900,0.8311959960793684,0.4370439298118587
10900,0.6120276420578422,0.5014862141810917
21340,0.5942513287207619,0.42997140401045597
37100,0.218299494763747,0.5434294803516396
28940,0.6090453722984149,0.5044114804661659
12940,0.882320031212618,0.43997674819934784
32580,0.4969175664244176,0.43534890207807103
35300,0.6422746834075727,0.46982328560768455
10580,0.7516032316338518,0.45352863456193904
12540,0.7979352035292061,0.3982111911976504
24860,0.5830841495667181,0.4915581048674574
10740,0.3098924265630193,0.47495200335024773
36540,0.1209037617932119,0.4266150878398095
49340,1.0,0.4649458182135598
14860,0.406529989912284,0.5099323164068598
23420,0.7390040464867461,0.44532410290806307
46140,0.5672164715115553,0.48619190557413516
46060,0.6669650779525379,0.48350978075774514
24340,0.8129717634174455,0.4493523956325065
40380,0.6199116113224571,0.45952925150738966
13820,0.6024381102881172,0.47457480771700195
15380,0.7080327854882226,0.4776968199348745
41620,0.7622006041847007,0.3983183547967696
25540,0.7431274457278584,0.4616548360005062
31140,0.7193665584037813,0.48897409840033657
35380,0.6590197673384444,0.4786390284673982
40060,0.4410979046067607,0.47416243471449293
39580,0.7015384425738164,0.42730187041593953
32820,0.5042652125521615,0.4429124518418705
36420,0.4333375693600549,0.42377110029820375
27260,0.5379637338796107,0.47720301272785254
33340,0.7660216509124997,0.4390668056282456
39300,0.5835003953898878,0.47030363648096113
47260,0.7060271155643582,0.439327914467676
34980,0.3864605073944549,0.43137186458470694
41940,0.6022364515052898,0.4322816733686308
26900,0.5313500710657243,0.43879802746801383
17460,0.739888405474569,0.4814292969837967
18140,0.8174552336063219,0.4154880732006449
12420,0.3139252733308679,0.3695858738282743
28140,0.7635593767442379,0.46675814109054714
29820,0.4197000735010937,0.4469273609284166
17140,0.7799907198544485,0.46302415758615173
40900,0.8460844053314209,0.47312873756665574
38300,0.6475517895733441,0.4825505157643273
38900,0.6109073650828551,0.4370076898656388
41700,0.3899141808457034,0.4421246437258655
36740,0.3935513502973808,0.4628847004254016
16740,0.6707125904362946,0.45299463422191344
12580,0.5619105224001693,0.4655600239582442
41180,0.5841641831851095,0.47976647081507157
19740,0.4235441375879066,0.4215944600336391
45300,0.4739932648564622,0.5130673593778119
41740,0.5308867355607559,0.43054226703715376
33460,0.5934611980105018,0.4372691623028427
42660,0.4698064782663443,0.40955539787025425
19820,0.5943526342053584,0.4998552242553663
40140,0.6931404614505974,0.47556591320887753
41860,0.4327645680041929,0.4369948964091581
38060,0.4713238638948207,0.4675002269612696
14460,0.692984311009837,0.4427235342416532
12060,0.6211609710157249,0.4321820624943063
37980,0.7035886352198271,0.46292770998025506
33100,0.4307828089511757,0.508914839102268
47900,0.5350395572126857,0.42925119658478156
26420,0.5640536028576627,0.4228875495431616
19100,0.5652223521178928,0.42966990074513667
16980,0.5625522989969505,0.44937528454871084
31080,0.574166626064557,0.4473368603332355
35620,0.5647637739559535,0.4585452425018381
